epoch,train_loss,val_loss,val_acc,lr,epoch_seconds,is_best,no_improve_count
1,1.1660375148057938,1.0923009157180785,0.375,0.0003,48.76347070001066,1,0
2,1.1136449923117955,1.1746235370635987,0.3,0.0003,39.193292700103484,0,1
3,1.1147497196992238,1.1020966053009034,0.33125,0.0003,38.68964410002809,0,2
4,1.1003841708103816,1.1055766582489013,0.31875,0.0003,39.43796770006884,0,3
5,1.0987682342529297,1.1034049272537232,0.325,0.0003,39.67057580000255,0,4
6,1.1002323279778163,1.0970713376998902,0.34375,0.0003,40.346323799923994,0,5
7,1.0999776422977448,1.0992147207260132,0.35,0.0003,38.34056720009539,0,6
8,1.0942653566598892,1.1069509744644166,0.2875,0.00015,41.19367780000903,0,7
9,1.0927600860595703,1.1024104833602906,0.325,0.00015,41.79971769999247,0,8
10,1.0912305066982906,1.0988189458847046,0.3625,0.00015,42.44126430002507,0,9
11,1.0931666890780132,1.1104479074478149,0.375,0.00015,40.547325799940154,0,10
12,1.086180071036021,1.1942623853683472,0.28125,0.00015,40.82876890001353,0,11
13,1.0867475618918736,1.128099274635315,0.3,0.00015,37.743745399988256,0,12
14,1.0804518908262253,1.1315985918045044,0.30625,7.5e-05,42.42518770007882,0,13
15,1.0754856765270233,1.1610912799835205,0.33125,7.5e-05,42.18039479991421,0,14
16,1.0753217935562134,1.1500712871551513,0.325,7.5e-05,38.37537810008507,0,15
17,1.075248698393504,1.1234519243240357,0.3375,7.5e-05,41.618526500067674,0,16
18,1.0748876680930455,1.5175976514816285,0.3375,7.5e-05,37.12705920008011,0,17
19,1.0717386553684871,1.1245535850524901,0.33125,7.5e-05,38.755984500050545,0,18
20,1.0529963374137878,1.1385825872421265,0.31875,3.75e-05,41.47873920004349,0,19
21,1.0516381735603015,1.3608649015426635,0.325,3.75e-05,39.37373840005603,0,20
