epoch,train_loss,val_loss,val_acc,epoch_seconds,is_best,no_improve_count
1,3.182540616236235,1.2808616787195206,0.30625,23.96284139994532,1,0
2,1.9783066969168814,1.3086462408304214,0.30625,19.788664199993946,0,1
3,1.5931808189341896,1.1448363482952117,0.35,20.42969829996582,1,0
4,1.420399232287156,1.129271924495697,0.3125,20.9035281999968,1,0
5,1.4091681499230235,1.1602472990751267,0.3,20.083156000007875,0,1
6,1.2255470357443157,1.1199624747037888,0.3375,20.232390499906614,0,2
7,1.2525286371770659,1.131502389907837,0.31875,20.792264400050044,0,3
8,1.2224256308455217,1.1228274166584016,0.30625,21.070976199931465,0,4
9,1.1899829506874084,1.1056294560432434,0.3375,21.064458600012586,1,0
10,1.189738539018129,1.1170146703720092,0.3,21.206477799918503,0,1
11,1.2222027910383124,1.1200251519680022,0.28125,21.786090999958105,0,2
12,1.1397766527376676,1.1112183928489685,0.3,20.874439800041728,0,3
13,1.164972766449577,1.1194809585809709,0.3,21.22689660009928,0,4
14,1.1734037123228374,1.132120943069458,0.29375,20.322193200001493,0,5
15,1.160972257664329,1.1116923332214355,0.36875,20.67655040009413,0,6
16,1.1547566476621125,1.1151518762111663,0.29375,20.941959799965844,0,7
17,1.1503403444039195,1.1090559244155884,0.36875,22.710170400096104,0,8
18,1.1259635893922104,1.1089225172996522,0.38125,23.56891919998452,0,9
19,1.1243573998150072,1.1112006068229676,0.3375,23.81018120003864,0,10
