epoch,train_loss,val_loss,val_acc,lr,epoch_seconds,is_best,no_improve_count
1,1.1423877626657486,1.1058052778244019,0.375,0.0003,62.908025400014594,1,0
2,1.1002130111058552,1.0954736709594726,0.375,0.0003,60.87942569993902,0,1
3,1.0876476267973583,1.0794371843338013,0.4375,0.0003,55.439097900060005,1,0
4,1.0814118484656017,1.070166015625,0.3875,0.0003,56.51908330002334,0,1
5,1.0836408634980519,1.106954026222229,0.44375,0.0003,50.95829440001398,1,0
6,1.0854979107777278,1.100965642929077,0.4,0.0003,57.57560939993709,0,1
7,1.0744577000538509,1.093305778503418,0.325,0.0003,53.586538700037636,0,2
8,1.0552929192781448,1.0723912000656128,0.38125,0.0003,53.0155465999851,0,3
9,1.0610729952653248,1.2029818058013917,0.475,0.0003,51.25965499994345,1,0
10,1.060346821943919,1.08157559633255,0.39375,0.0003,53.72961539996322,0,1
11,1.0570668230454128,1.0866214990615846,0.36875,0.0003,50.27304520003963,0,2
12,1.0378941247860591,1.1355340719223022,0.41875,0.0003,52.65323629998602,0,3
13,1.0363218585650127,1.0746772170066834,0.4375,0.0003,55.058020500000566,0,4
14,1.018225555618604,1.223906922340393,0.3375,0.0003,50.80892510002013,0,5
15,1.004822661479314,1.042430007457733,0.44375,0.0003,52.62258690001909,0,6
16,0.9557480861743292,1.0134684681892394,0.4375,0.00015,52.232335699955,0,7
17,0.9403462236126264,1.0415947794914246,0.4625,0.00015,48.73993100004736,0,8
18,0.9228592937191328,1.4580865621566772,0.38125,0.00015,58.726644000038505,0,9
19,0.9074957718451818,1.2608412265777589,0.45,0.00015,50.72970490006264,0,10
20,0.8789070149262747,1.5495808601379395,0.34375,0.00015,54.760502099990845,0,11
21,0.8460559546947479,1.0574138879776,0.4875,0.00015,55.459976400015876,1,0
22,0.8244842290878296,1.1778847575187683,0.3875,0.00015,59.08247720007785,0,1
23,0.8067812075217565,1.436248207092285,0.33125,0.00015,50.324538100045174,0,2
24,0.7863463883598646,0.9782619118690491,0.49375,0.00015,48.20689620007761,1,0
25,0.7339732050895691,0.9904543995857239,0.4625,0.00015,52.733452999964356,0,1
26,0.7350285847981771,0.8683024168014526,0.56875,0.00015,50.891778599936515,1,0
27,0.6895482540130615,1.0101885080337525,0.50625,0.00015,51.497832000022754,0,1
28,0.6646144911646843,1.4574476957321167,0.40625,0.00015,49.24367150000762,0,2
29,0.650032289326191,1.0676270723342896,0.49375,0.00015,51.611214000033215,0,3
30,0.6156723350286484,1.5516048192977905,0.46875,0.00015,51.823683099937625,0,4
31,0.5708293095231056,1.7205669403076171,0.425,0.00015,47.05396060005296,0,5
32,0.5339823812246323,0.8413015723228454,0.625,0.00015,53.42244770005345,1,0
33,0.484996738533179,0.7411816477775574,0.65,0.00015,49.38170230004471,1,0
34,0.46144472310940426,1.0093764185905456,0.54375,0.00015,54.87853930005804,0,1
35,0.44931154946486157,0.7229449510574341,0.63125,0.00015,49.60821219999343,0,2
36,0.3935749965409438,0.9194587469100952,0.61875,0.00015,54.24052270001266,0,3
37,0.4004536246260007,0.8835076093673706,0.60625,0.00015,52.41380880004726,0,4
38,0.35941443716486293,1.0586514949798584,0.55625,0.00015,54.07794180000201,0,5
39,0.3367014067868392,0.7961048722267151,0.6375,0.00015,46.39185150002595,0,6
40,0.27581408495704335,0.7412647008895874,0.66875,7.5e-05,50.978809599997476,1,0
41,0.23256035397450128,0.7159697413444519,0.71875,7.5e-05,48.49209559999872,1,0
42,0.22021490645905337,0.6630027592182159,0.70625,7.5e-05,52.45040600001812,0,1
43,0.20164063603927693,1.6765764474868774,0.4,7.5e-05,50.3977889000671,0,2
44,0.17634900783499083,0.6642241954803467,0.7125,7.5e-05,52.6843552000355,0,3
45,0.18115057796239853,0.7380707740783692,0.7,7.5e-05,50.74719769996591,0,4
46,0.16364291682839394,0.9105595707893371,0.65625,7.5e-05,50.00761540001258,0,5
47,0.17138836346566677,0.6469759047031403,0.71875,7.5e-05,49.24297570006456,0,6
48,0.11655940115451813,0.6075818061828613,0.7375,3.75e-05,54.4584725999739,1,0
49,0.10578385243813197,0.5973399698734283,0.74375,3.75e-05,52.998183500021696,1,0
50,0.10559687577188015,0.8057746529579163,0.675,3.75e-05,46.943643799982965,0,1
51,0.09601221326738596,0.5955872595310211,0.73125,3.75e-05,48.52653050003573,0,2
52,0.09388387203216553,0.5922021985054016,0.7625,3.75e-05,49.491041900007986,1,0
53,0.08384908208002646,0.6467742919921875,0.7,3.75e-05,47.525862500071526,0,1
54,0.08317779873808225,0.5903477311134339,0.75625,3.75e-05,48.522961000096984,0,2
55,0.07271065562963486,0.6439064383506775,0.71875,3.75e-05,48.59712069993839,0,3
56,0.07090141344815493,0.639225035905838,0.7375,3.75e-05,52.57980839989614,0,4
57,0.07847699833412965,0.796027135848999,0.69375,3.75e-05,53.94749170006253,0,5
58,0.06428144235784809,0.599830836057663,0.75625,3.75e-05,51.17370279994793,0,6
59,0.05559342230359713,0.6188104152679443,0.7375,1.875e-05,52.607602400006726,0,7
60,0.05628247683246931,0.9960503816604614,0.6125,1.875e-05,50.55400990007911,0,8
61,0.05629506583015124,0.7027128219604493,0.68125,1.875e-05,53.216126000043005,0,9
62,0.055900574351350464,0.5722733259201049,0.76875,1.875e-05,48.61787179997191,1,0
63,0.044518699093411364,0.554371976852417,0.775,1.875e-05,53.31020309997257,1,0
64,0.047953598046054445,0.5460247874259949,0.7875,1.875e-05,48.607313399901614,1,0
65,0.04776291580249866,0.596415102481842,0.7125,1.875e-05,51.76766809995752,0,1
66,0.04666228988207877,0.5727023243904114,0.7625,1.875e-05,60.77366589999292,0,2
67,0.04365354574595889,0.5919069766998291,0.78125,1.875e-05,51.22963680000976,0,3
68,0.039302295073866844,0.567635715007782,0.76875,1.875e-05,55.40940889995545,0,4
69,0.03670421335846186,0.5581310749053955,0.75,1.875e-05,49.60639780003112,0,5
70,0.04126365467285117,0.5470750331878662,0.74375,1.875e-05,56.863762599998154,0,6
71,0.03170871284479896,0.5653468847274781,0.74375,9.375e-06,47.51297079992946,0,7
72,0.033435002667829394,0.563568776845932,0.78125,9.375e-06,50.298001300077885,0,8
73,0.03432673697049419,0.5539059817790986,0.7625,9.375e-06,52.63021850003861,0,9
74,0.03297425899654627,0.5601565301418304,0.75,9.375e-06,51.596094500040635,0,10
75,0.03387390666951736,0.5682952702045441,0.78125,9.375e-06,53.85239899996668,0,11
76,0.03221145241210858,0.5580831885337829,0.78125,9.375e-06,48.87162270001136,0,12
77,0.028413311966384452,0.5563978731632233,0.7875,4.6875e-06,50.98689500009641,0,13
78,0.03148178926979502,0.5597190856933594,0.76875,4.6875e-06,49.40820559998974,0,14
79,0.029911317474519212,0.5715898633003235,0.775,4.6875e-06,49.20583069999702,0,15
80,0.025984654823939007,0.555846893787384,0.775,4.6875e-06,49.34831699996721,0,16
81,0.029760110347221296,0.5551913499832153,0.78125,4.6875e-06,48.74920279998332,0,17
82,0.02793636949112018,0.5819489181041717,0.7625,4.6875e-06,50.28969010000583,0,18
83,0.02535928801322977,0.5543164908885956,0.775,2.34375e-06,50.359196799923666,0,19
84,0.024938364357997973,0.5534616947174072,0.76875,2.34375e-06,49.998423899989575,0,20
