epoch,train_loss,val_loss,val_acc,epoch_seconds,is_best,no_improve_count
1,1.3391622404257457,1.0984397888183595,0.375,88.45255630009342,1,0
2,1.0991588681936264,1.098456335067749,0.375,0.950970400008373,0,1
3,1.0987224181493123,1.0985957622528075,0.325,0.3774429999757558,0,2
4,1.0987465033928554,1.098688268661499,0.325,0.37480780004989356,0,3
5,1.098911960919698,1.0987019538879395,0.325,0.36613850004505366,0,4
6,1.098692054549853,1.098993706703186,0.325,0.3639714999590069,0,5
7,1.0989221334457397,1.0987087488174438,0.325,0.37366759998258203,0,6
