epoch,train_loss,val_loss,val_acc,epoch_seconds,is_best,no_improve_count
1,5.3930535813172655,1.5708911418914795,0.33125,10.990727700060233,1,0
2,1.5725787729024887,1.1890039205551148,0.34375,0.7759475000202656,1,0
3,1.2279802908500035,1.1709440708160401,0.39375,0.7641071999678388,1,0
4,1.1260945250590642,1.0856092691421508,0.41875,0.8359290999360383,1,0
5,1.122613658507665,1.1099926948547363,0.39375,0.815756700001657,0,1
6,1.1032745937506359,1.1582910299301148,0.3875,0.7776944000506774,0,2
7,1.0052526146173477,1.0897491931915284,0.40625,0.7760670999996364,0,3
8,0.9600013370315233,1.1102516412734986,0.4,0.8236922000069171,0,4
9,0.9559950232505798,1.0927163243293763,0.43125,0.7890120999654755,0,5
10,0.9406786685188612,1.110857653617859,0.45,0.8173184000188485,0,6
11,0.8262847239772478,1.087344193458557,0.50625,0.7908963999943808,0,7
12,0.8232962439457575,1.0682127118110656,0.45625,0.822188000078313,1,0
13,0.7091206808884939,1.0612770795822144,0.48125,0.8085228999843821,1,0
14,0.6803980196515719,1.0534583687782288,0.48125,0.7991641999688,1,0
15,0.6284797067443529,1.1286662220954895,0.46875,0.8141721000429243,0,1
16,0.612021350612243,1.108189845085144,0.4625,0.8299018000252545,0,2
17,0.5685010502735773,1.1390410900115966,0.4875,0.7825888000661507,0,3
18,0.6313742337127527,1.132439923286438,0.4875,0.7711924999020994,0,4
19,0.6195399612188339,1.2253164291381835,0.45,0.802762100007385,0,5
20,0.5544385568549236,1.1434261322021484,0.49375,0.8001485000131652,0,6
21,0.5500895294050375,1.2193857312202454,0.475,0.7835905000101775,0,7
22,0.44532586199541885,1.2153383016586303,0.45625,0.7911713999928907,0,8
23,0.4746246263384819,1.1971755146980285,0.45625,0.7578009999124333,0,9
24,0.391968060284853,1.3010382175445556,0.425,0.8365162999834865,0,10
25,0.34889498849709827,1.3739851474761964,0.44375,0.7881285999901593,0,11
26,0.2857789521416028,1.4197610378265382,0.44375,0.8115746999392286,0,12
27,0.33713399556775886,1.3981295585632325,0.46875,0.8230564000550658,0,13
28,0.3148734501252572,1.4815807580947875,0.5,0.8073695000493899,0,14
29,0.32195504071811837,1.4499115467071533,0.41875,0.7843344999710098,0,15
30,0.3418005245427291,1.3856850624084474,0.4375,0.8279126000124961,0,16
31,0.2824238535637657,1.4731466054916382,0.4375,0.8139824999962002,0,17
32,0.27116466872394085,1.5670125961303711,0.46875,0.7810260000405833,0,18
33,0.27352184150367975,1.5620189666748048,0.5,0.7731137999799103,0,19
34,0.3137556031967203,1.567513632774353,0.48125,0.8092468999093398,0,20
35,0.27310608699917793,1.660917067527771,0.45625,0.7400788000086322,0,21
36,0.24962983280420303,1.6619195938110352,0.49375,0.7652819000650197,0,22
37,0.2698912746272981,1.6557702779769898,0.51875,0.8200028000865132,0,23
38,0.28079895054300624,1.6846432447433473,0.475,0.7887015000451356,0,24
39,0.2644117719804247,1.788058376312256,0.4875,0.7797950999811292,0,25
40,0.21054748073220253,1.7391335487365722,0.50625,0.7893940000794828,0,26
41,0.1859949855133891,1.813613772392273,0.525,0.7896006000228226,0,27
42,0.1925233299843967,1.691084051132202,0.48125,0.8065571999177337,0,28
43,0.20064110665892562,1.6968313455581665,0.5,0.7815942000597715,0,29
44,0.16847454104572535,1.7385936975479126,0.4875,0.8042033999226987,0,30
45,0.18709328413630524,1.7023577451705934,0.49375,0.8023918999824673,0,31
46,0.12568038034563264,1.7424046993255615,0.53125,0.7794092999538407,0,32
47,0.14069645712152123,1.8741903066635133,0.525,0.7756401000078768,0,33
