epoch,train_loss,val_loss,val_acc,epoch_seconds,is_best,no_improve_count
1,13.694412247758162,2.565845492482185,0.30625,45.072770899976604,1,0
2,5.224318597818676,1.3671881347894668,0.34375,38.0589446000522,1,0
3,4.052197885513306,1.635108008980751,0.30625,38.2354671000503,0,1
4,3.1648414116156727,1.2603378504514695,0.31875,38.25045409996528,1,0
5,2.632806710193032,1.1157081961631774,0.30625,39.937694799969904,1,0
6,1.8233365993750723,1.1359724521636962,0.29375,37.33762879995629,0,1
7,1.613491271671496,1.1027380764484405,0.3125,40.19508390000556,1,0
8,1.5854688675780044,1.1121886610984801,0.325,39.411433600005694,0,1
9,1.3417989034401743,1.105403971672058,0.325,39.12196210003458,0,2
10,1.3208234140747472,1.0992663264274598,0.30625,39.27029310003854,0,3
11,1.2800732524771439,1.0995058596134186,0.325,40.9059460000135,0,4
12,1.3370021443617972,1.0994648039340973,0.325,38.94166199991014,0,5
13,1.2533702568004006,1.09976806640625,0.31875,36.80262540001422,0,6
14,1.1717770356880992,1.0987509667873383,0.31875,38.89331890002359,0,7
15,1.2256175041198731,1.0996237456798554,0.325,40.04534010007046,0,8
16,1.1722065662082872,1.0993967950344086,0.325,38.82997720001731,0,9
17,1.149096849717592,1.1832176506519319,0.33125,41.37477599992417,0,10
