epoch,train_loss,val_loss,val_acc,epoch_seconds,is_best,no_improve_count
1,1.156988948583603,1.1241864204406737,0.31875,53.874181199935265,1,0
2,1.1023683746655781,1.0922121047973632,0.39375,38.455490199965425,1,0
3,1.0978028724590938,1.1352277040481566,0.29375,34.86153379990719,0,1
4,1.0996335744857788,1.1169786691665649,0.31875,37.06373270007316,0,2
5,1.1004826029141743,1.1168357133865356,0.3125,42.150377699988894,0,3
6,1.0957107543945312,1.0975438356399536,0.375,38.900943399989046,0,4
7,1.0902637392282486,1.1585286378860473,0.3125,37.0970827001147,0,5
8,1.085296516617139,1.4121427297592164,0.33125,39.27501790004317,0,6
9,1.0825817634661992,1.1821229219436646,0.30625,40.85956170002464,0,7
10,1.0811739166577656,1.1820943117141725,0.2875,37.94664630002808,0,8
11,1.085450107852618,1.1971892833709716,0.34375,39.658323600073345,0,9
12,1.0745874394973118,1.5535306453704834,0.3,38.332715500029735,0,10
13,1.073687195777893,1.1705182075500489,0.35625,38.77198339998722,0,11
14,1.0724956393241882,1.4726093769073487,0.3375,39.584013400017284,0,12
15,1.0698221077521641,1.1016682863235474,0.31875,36.07645599998068,0,13
16,1.0469301243623097,1.2952404975891114,0.325,37.547134799999185,0,14
17,1.062356988588969,1.3788839340209962,0.3,39.70820300001651,0,15
