epoch,train_loss,val_loss,val_acc,lr,epoch_seconds,is_best,no_improve_count
1,1.1388812810182571,1.112952470779419,0.375,0.0003,60.31286359997466,1,0
2,1.09963858127594,1.0970870971679687,0.375,0.0003,59.45097879995592,0,1
3,1.0869835515817006,1.080902600288391,0.4625,0.0003,52.391831399989314,1,0
4,1.0810055087010066,1.0763277292251587,0.3625,0.0003,52.48280530003831,0,1
5,1.0845764776070912,1.111707854270935,0.39375,0.0003,51.87064249999821,0,2
6,1.0862043251593907,1.1341460466384887,0.43125,0.0003,54.216723799938336,0,3
7,1.077109823624293,1.2271751880645752,0.31875,0.0003,53.801057799952105,0,4
8,1.0597853362560272,1.094458770751953,0.3625,0.0003,52.8323698999593,0,5
9,1.0600817451874416,1.070382785797119,0.4,0.0003,51.26499299996067,0,6
10,1.052430694301923,1.0979800701141358,0.3625,0.0003,53.18403889995534,0,7
11,1.0583590616782506,1.0998239994049073,0.41875,0.0003,49.160132299992256,0,8
12,1.0247908979654312,1.175132417678833,0.3875,0.0003,48.63057559996378,0,9
13,1.004405011733373,1.1527352452278137,0.41875,0.00015,51.663406700012274,0,10
14,1.0050985018412273,1.0825410842895509,0.4,0.00015,48.78649329999462,0,11
15,0.9802402059237162,0.9963514089584351,0.46875,0.00015,50.43786139995791,1,0
16,0.9266216059525808,1.137183141708374,0.41875,0.00015,50.926708700018935,0,1
17,0.9450275301933289,1.0237023830413818,0.50625,0.00015,47.205621400033124,1,0
18,0.9232413346568743,1.3767299890518188,0.3625,0.00015,55.05332609999459,0,1
19,0.9055209284027418,0.9982948660850525,0.53125,0.00015,48.871854300028645,1,0
20,0.874024011194706,1.4117147207260132,0.375,0.00015,52.3131000000285,0,1
21,0.8558177947998047,1.435816478729248,0.41875,0.00015,54.123293700045906,0,2
22,0.844578705728054,1.6308685302734376,0.3375,0.00015,55.11585260007996,0,3
23,0.8274072085817655,1.571951699256897,0.36875,0.00015,50.41154439991806,0,4
24,0.8276930501063665,0.9893634200096131,0.5,0.00015,48.60210989997722,0,5
25,0.7694426973660787,1.0952922701835632,0.48125,0.00015,53.221359899966046,0,6
26,0.7527342736721039,1.6062853336334229,0.425,0.00015,50.72851270006504,0,7
27,0.7351005425055822,1.4130163192749023,0.4625,0.00015,51.9068192000268,0,8
