epoch,train_loss,val_loss,val_acc,epoch_seconds,is_best,no_improve_count
1,6.766731292009354,1.164907693862915,0.375,103.33182690001559,1,0
2,1.454810048143069,1.093712329864502,0.36875,91.98168409999926,0,1
3,1.200427268942197,1.0933707714080811,0.36875,63.00196569995023,0,2
4,1.1427185535430908,1.0904324293136596,0.4,61.811392799951136,1,0
5,1.1241318037112553,1.0910764932632446,0.4,61.16722570010461,0,1
6,1.1038878162701924,1.0931168079376221,0.39375,63.240000499994494,0,2
7,1.1160276879866917,1.090297770500183,0.4,66.69321429997217,0,3
8,1.1016201972961426,1.0862955331802369,0.3875,69.99138269992545,0,4
9,1.1019765039285023,1.0872153759002685,0.375,94.49125919991639,0,5
10,1.112816443045934,1.0858516693115234,0.43125,95.04773800005205,1,0
11,1.076983004808426,1.0878711462020874,0.39375,102.5992503000889,0,1
