epoch,train_loss,val_loss,val_acc,lr,epoch_seconds,is_best,no_improve_count
1,1.1625401377677917,1.1028702974319458,0.39375,0.0003,48.11821200000122,1,0
2,1.1221591184536617,1.1651740312576293,0.35625,0.0003,44.6727613999974,0,1
3,1.1226335416237514,1.1121776342391967,0.3375,0.0003,39.95471359998919,0,2
4,1.10947119196256,1.2162240505218507,0.34375,0.0003,39.645096399937756,0,3
5,1.1077699859937031,1.1117307901382447,0.28125,0.0003,38.56747680006083,0,4
6,1.1132407834132512,1.1047126054763794,0.3625,0.0003,43.357944099931046,0,5
7,1.1070608645677567,1.1010018110275268,0.34375,0.0003,42.61904040002264,0,6
8,1.09230437874794,1.0929706811904907,0.40625,0.00015,42.674728699959815,1,0
9,1.0838955144087474,1.097802209854126,0.34375,0.00015,42.29883520002477,0,1
10,1.0889252324899037,1.1205176830291748,0.36875,0.00015,42.350923700025305,0,2
11,1.0767333457867305,1.2275156497955322,0.36875,0.00015,40.417925099958666,0,3
12,1.0784934560457866,1.1132713556289673,0.34375,0.00015,38.61144729994703,0,4
13,1.076707089940707,1.1267014741897583,0.34375,0.00015,41.29385870008264,0,5
14,1.0799389282862346,1.1060230493545533,0.34375,0.00015,39.23127280001063,0,6
15,1.0691698491573334,1.1190227031707765,0.35625,7.5e-05,40.14483180001844,0,7
16,1.0646498252948124,1.1499786615371703,0.4,7.5e-05,42.00446130009368,0,8
17,1.0608912656704585,1.1312876701354981,0.3375,7.5e-05,38.90221590001602,0,9
18,1.0683646649122238,1.4946539640426635,0.33125,7.5e-05,43.57573239994235,0,10
19,1.0600924765070279,1.3725170612335205,0.33125,7.5e-05,39.10494500002824,0,11
20,1.0553369149565697,1.1180341958999633,0.34375,7.5e-05,41.59644950006623,0,12
21,1.0454623103141785,1.1372467041015626,0.3875,3.75e-05,42.505681499955244,0,13
22,1.0479455639918644,1.1293586492538452,0.3375,3.75e-05,43.95470439991914,0,14
23,1.0418872833251953,1.120059084892273,0.35,3.75e-05,40.91880909993779,0,15
24,1.0394919713338215,1.1841299533843994,0.36875,3.75e-05,40.650338100036606,0,16
25,1.0335200627644856,1.1878902912139893,0.3375,3.75e-05,43.63566669996362,0,17
26,1.0387528191010158,1.161086654663086,0.41875,3.75e-05,40.94082619994879,1,0
27,1.0255535046259563,1.202902865409851,0.375,3.75e-05,42.15010850003455,0,1
28,1.0327499980727832,1.2588477611541748,0.41875,3.75e-05,40.908930300036445,0,2
29,1.0228584880630176,1.3472369194030762,0.35625,3.75e-05,41.83209619997069,0,3
30,1.0277247528235118,1.1862336158752442,0.375,3.75e-05,42.19201910006814,0,4
31,1.0257410059372585,1.1790230512619018,0.43125,3.75e-05,38.482132399920374,1,0
32,1.019189824660619,1.1312269687652587,0.3625,3.75e-05,43.49555960006546,0,1
33,1.0119824806849163,1.1836106061935425,0.375,3.75e-05,39.73573309998028,0,2
34,1.0052604873975117,1.152526617050171,0.375,3.75e-05,53.37893429992255,0,3
35,0.9885607783993086,1.1163265228271484,0.425,3.75e-05,62.989439599914476,0,4
36,0.9951603561639786,1.1515201330184937,0.34375,3.75e-05,67.85501729999669,0,5
37,0.9794211188952128,1.1911493301391602,0.43125,3.75e-05,65.07546720001847,0,6
38,0.9610495467980703,1.1533698081970214,0.36875,1.875e-05,72.04302869993262,0,7
39,0.9600023105740547,1.14327232837677,0.375,1.875e-05,58.978339400026016,0,8
40,0.9579547643661499,1.1902417182922362,0.3625,1.875e-05,63.49856519990135,0,9
41,0.9391015370686849,1.18540620803833,0.35625,1.875e-05,60.315376100013964,0,10
42,0.927212692797184,1.1481096029281617,0.38125,1.875e-05,64.21016889996827,0,11
43,0.9212695062160492,1.236072874069214,0.36875,1.875e-05,62.17407120007556,0,12
44,0.8967807094256083,1.1487693309783935,0.43125,9.375e-06,64.63716930011287,0,13
45,0.8937275682886442,1.1631364822387695,0.38125,9.375e-06,63.25067819992546,0,14
46,0.8809888089696566,1.1516555309295655,0.35625,9.375e-06,62.198157600010745,0,15
47,0.8802046204606692,1.1419894218444824,0.34375,9.375e-06,61.70922540000174,0,16
48,0.8664593274394671,1.1905413389205932,0.3375,9.375e-06,66.24641909997445,0,17
49,0.8517591257890066,1.1583284378051757,0.35,9.375e-06,64.78241750004236,0,18
50,0.8543707405527433,1.1495255947113037,0.3375,4.6875e-06,57.581603799946606,0,19
51,0.8354178369045258,1.1544088125228882,0.33125,4.6875e-06,60.55185889999848,0,20
